Vota a la lista: -2; Edad: 47; Genero: M
Vota a la lista: 2; Edad: 18; Genero: M
Vota a la lista: 2; Edad: 58; Genero: H
Vota a la lista: 2; Edad: 29; Genero: H
Vota a la lista: 2; Edad: 61; Genero: M
Vota a la lista: 2; Edad: 63; Genero: H
Vota a la lista: 2; Edad: 30; Genero: H
Vota a la lista: 2; Edad: 20; Genero: M
Vota a la lista: 2; Edad: 41; Genero: M
Vota a la lista: 2; Edad: 45; Genero: M
Vota a la lista: 2; Edad: 38; Genero: H
Vota a la lista: 2; Edad: 47; Genero: H
Vota a la lista: 2; Edad: 61; Genero: H
Vota a la lista: 2; Edad: 57; Genero: M
Vota a la lista: 2; Edad: 43; Genero: H
Vota a la lista: 2; Edad: 47; Genero: H
Vota a la lista: 2; Edad: 62; Genero: M
Vota a la lista: 2; Edad: 62; Genero: M
Vota a la lista: 2; Edad: 54; Genero: M
Vota a la lista: 2; Edad: 43; Genero: H
Vota a la lista: 2; Edad: 38; Genero: M
Vota a la lista: 2; Edad: 47; Genero: M
Vota a la lista: 2; Edad: 51; Genero: M
Vota a la lista: 2; Edad: 21; Genero: M
Vota a la lista: 2; Edad: 51; Genero: M
Vota a la lista: 2; Edad: 23; Genero: H
Vota a la lista: 2; Edad: 63; Genero: M
Vota a la lista: 3; Edad: 64; Genero: H
Vota a la lista: 3; Edad: 36; Genero: H
Vota a la lista: 3; Edad: 64; Genero: H
Vota a la lista: 3; Edad: 52; Genero: M
Vota a la lista: 3; Edad: 20; Genero: M
Vota a la lista: 3; Edad: 27; Genero: M
Vota a la lista: 3; Edad: 62; Genero: M
Vota a la lista: 3; Edad: 46; Genero: M
Vota a la lista: 3; Edad: 44; Genero: M
Vota a la lista: 3; Edad: 44; Genero: H
Vota a la lista: 3; Edad: 35; Genero: M
Vota a la lista: 3; Edad: 31; Genero: H
Vota a la lista: 3; Edad: 57; Genero: M
Vota a la lista: 3; Edad: 39; Genero: M
Vota a la lista: 3; Edad: 45; Genero: H
Vota a la lista: 3; Edad: 64; Genero: M
Vota a la lista: 3; Edad: 36; Genero: M
Vota a la lista: 3; Edad: 50; Genero: M
Vota a la lista: 3; Edad: 19; Genero: H
Vota a la lista: 3; Edad: 53; Genero: M
Vota a la lista: 3; Edad: 33; Genero: H
Vota a la lista: 3; Edad: 54; Genero: H
Vota a la lista: 3; Edad: 42; Genero: M
Vota a la lista: 3; Edad: 53; Genero: M
Vota a la lista: 3; Edad: 63; Genero: M
Vota a la lista: 3; Edad: 50; Genero: M
Vota a la lista: 3; Edad: 37; Genero: H
Vota a la lista: 3; Edad: 61; Genero: M
Vota a la lista: 3; Edad: 50; Genero: M
Vota a la lista: 3; Edad: 45; Genero: M
Vota a la lista: 3; Edad: 63; Genero: H
Vota a la lista: 3; Edad: 65; Genero: H
Vota a la lista: 3; Edad: 18; Genero: H
Vota a la lista: 3; Edad: 25; Genero: H
Vota a la lista: 4; Edad: 55; Genero: M
Vota a la lista: 4; Edad: 29; Genero: M
Vota a la lista: 4; Edad: 65; Genero: H
Vota a la lista: 4; Edad: 49; Genero: H
Vota a la lista: 4; Edad: 21; Genero: H
Vota a la lista: 4; Edad: 40; Genero: H
Vota a la lista: 4; Edad: 31; Genero: M
Vota a la lista: 4; Edad: 38; Genero: M
Vota a la lista: 4; Edad: 57; Genero: M
Vota a la lista: 4; Edad: 54; Genero: H
Vota a la lista: 4; Edad: 25; Genero: M
Vota a la lista: 4; Edad: 41; Genero: H
Vota a la lista: 4; Edad: 38; Genero: H
Vota a la lista: 4; Edad: 28; Genero: H
Vota a la lista: 4; Edad: 45; Genero: M
Vota a la lista: 4; Edad: 52; Genero: H
Vota a la lista: 4; Edad: 54; Genero: H
Vota a la lista: 4; Edad: 53; Genero: M
Vota a la lista: 4; Edad: 54; Genero: M
Vota a la lista: 4; Edad: 18; Genero: H
Vota a la lista: 4; Edad: 23; Genero: M
Vota a la lista: 4; Edad: 32; Genero: M
Vota a la lista: 4; Edad: 30; Genero: H
Vota a la lista: 4; Edad: 38; Genero: M
Vota a la lista: 4; Edad: 62; Genero: H
Vota a la lista: 4; Edad: 56; Genero: M
Vota a la lista: 4; Edad: 26; Genero: H
Vota a la lista: 4; Edad: 29; Genero: M
Vota a la lista: 4; Edad: 48; Genero: M
Vota a la lista: 4; Edad: 24; Genero: H
Vota a la lista: 4; Edad: 43; Genero: M
Vota a la lista: 4; Edad: 49; Genero: H
Vota a la lista: 4; Edad: 32; Genero: M
Vota a la lista: 4; Edad: 22; Genero: H
Vota a la lista: 4; Edad: 27; Genero: M
Vota a la lista: 4; Edad: 22; Genero: H
Vota a la lista: 4; Edad: 20; Genero: H
Vota a la lista: 4; Edad: 41; Genero: H
Vota a la lista: 4; Edad: 50; Genero: M
Vota a la lista: 4; Edad: 58; Genero: M
Vota a la lista: 4; Edad: 24; Genero: M
Vota a la lista: 4; Edad: 20; Genero: M
Vota a la lista: 4; Edad: 54; Genero: M
Vota a la lista: 4; Edad: 34; Genero: H
Vota a la lista: 4; Edad: 60; Genero: H
Vota a la lista: 5; Edad: 35; Genero: H
Vota a la lista: 5; Edad: 28; Genero: H
Vota a la lista: 5; Edad: 49; Genero: H
Vota a la lista: 5; Edad: 54; Genero: H
Vota a la lista: 5; Edad: 34; Genero: H
Vota a la lista: 5; Edad: 38; Genero: H
Vota a la lista: 5; Edad: 62; Genero: M
Vota a la lista: 5; Edad: 65; Genero: H
Vota a la lista: 5; Edad: 58; Genero: M
Vota a la lista: 5; Edad: 24; Genero: M
Vota a la lista: 5; Edad: 46; Genero: M
Vota a la lista: 5; Edad: 28; Genero: M
Vota a la lista: 5; Edad: 26; Genero: M
Vota a la lista: 5; Edad: 45; Genero: M
Vota a la lista: 5; Edad: 59; Genero: M
Vota a la lista: 5; Edad: 60; Genero: M
Vota a la lista: 5; Edad: 55; Genero: M
Vota a la lista: 5; Edad: 46; Genero: M
Vota a la lista: 5; Edad: 65; Genero: H
Vota a la lista: 5; Edad: 45; Genero: H
Vota a la lista: 5; Edad: 32; Genero: H
Vota a la lista: 5; Edad: 43; Genero: M
Vota a la lista: 5; Edad: 37; Genero: M
Vota a la lista: 5; Edad: 40; Genero: M
Vota a la lista: 5; Edad: 18; Genero: M
Vota a la lista: 5; Edad: 58; Genero: H
Vota a la lista: 5; Edad: 65; Genero: M
Vota a la lista: 5; Edad: 36; Genero: M
Vota a la lista: 5; Edad: 30; Genero: H
Vota a la lista: 5; Edad: 39; Genero: M
Vota a la lista: 6; Edad: 27; Genero: H
Vota a la lista: 6; Edad: 21; Genero: H
Vota a la lista: 6; Edad: 54; Genero: H
Vota a la lista: 6; Edad: 54; Genero: H
Vota a la lista: 6; Edad: 34; Genero: M
Vota a la lista: 6; Edad: 25; Genero: M
Vota a la lista: 6; Edad: 63; Genero: M
Vota a la lista: 6; Edad: 35; Genero: M
Vota a la lista: 6; Edad: 20; Genero: H
Vota a la lista: 6; Edad: 62; Genero: M
Vota a la lista: 6; Edad: 60; Genero: M
Vota a la lista: 6; Edad: 43; Genero: M
Vota a la lista: 6; Edad: 52; Genero: M
Vota a la lista: 6; Edad: 31; Genero: H
Vota a la lista: 6; Edad: 19; Genero: H
Vota a la lista: 6; Edad: 37; Genero: H
Vota a la lista: 6; Edad: 21; Genero: H
Vota a la lista: 6; Edad: 61; Genero: H
Vota a la lista: 6; Edad: 62; Genero: H
Vota a la lista: 6; Edad: 34; Genero: M
Vota a la lista: 6; Edad: 54; Genero: H
Vota a la lista: 6; Edad: 38; Genero: M
Vota a la lista: 6; Edad: 58; Genero: M
Vota a la lista: 6; Edad: 39; Genero: H
Vota a la lista: 6; Edad: 53; Genero: M
Vota a la lista: 6; Edad: 42; Genero: H
Vota a la lista: 6; Edad: 38; Genero: H
Vota a la lista: 7; Edad: 52; Genero: M
Vota a la lista: 7; Edad: 47; Genero: M
Vota a la lista: 7; Edad: 53; Genero: M
Vota a la lista: 7; Edad: 21; Genero: H
Vota a la lista: 7; Edad: 33; Genero: M
Vota a la lista: 7; Edad: 20; Genero: M
Vota a la lista: 7; Edad: 33; Genero: M
Vota a la lista: 7; Edad: 39; Genero: H
Vota a la lista: 7; Edad: 29; Genero: M
Vota a la lista: 7; Edad: 37; Genero: H
Vota a la lista: 7; Edad: 20; Genero: M
Vota a la lista: 7; Edad: 44; Genero: M
Vota a la lista: 7; Edad: 27; Genero: H
Vota a la lista: 7; Edad: 29; Genero: H
Vota a la lista: 7; Edad: 57; Genero: H
Vota a la lista: 7; Edad: 54; Genero: H
Vota a la lista: 7; Edad: 25; Genero: M
Vota a la lista: 7; Edad: 41; Genero: H
Vota a la lista: 7; Edad: 55; Genero: M
Vota a la lista: 7; Edad: 59; Genero: M
Vota a la lista: 7; Edad: 56; Genero: H
Vota a la lista: 7; Edad: 51; Genero: H
Vota a la lista: 7; Edad: 60; Genero: M
Vota a la lista: 7; Edad: 54; Genero: H
Vota a la lista: 7; Edad: 41; Genero: M
Vota a la lista: 7; Edad: 25; Genero: H
Vota a la lista: 7; Edad: 24; Genero: H
Vota a la lista: 7; Edad: 51; Genero: M
